area,predicted_iou,point_coords,index,scale (um/px),perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
5679,0.9938398599624634,"[517.5, 489.375]",61,6.0755,46.047979672252765,153.8536551157651,1.0967394836854276,554,477,True,513,435,82,86
4364,0.9938307404518127,"[832.5, 253.125]",62,6.0755,40.23550182848288,118.22809489790437,1.0896531762959916,804,275,True,766,239,76,72
6484,0.9937677979469299,"[202.5, 759.375]",64,6.0755,49.652538008380255,175.66245813886616,1.116848037101324,168,729,True,122,685,92,89
5494,0.9935577511787415,"[112.5, 286.875]",65,6.0755,45.60582797308143,148.84169417256797,1.1120036705425804,111,248,True,68,207,85,84
5269,0.9934767484664917,"[787.5, 556.875]",66,6.0755,44.674735198383146,142.74606599840928,1.1126279403782886,756,576,True,718,534,80,85
6114,0.993470311164856,"[1147.5, 826.875]",67,6.0755,48.10300062501512,165.63853625247188,1.111662839269791,1185,812,True,1141,769,88,88
4078,0.9933465719223022,"[742.5, 354.375]",68,6.0755,39.36088933796365,110.47987419652934,1.1159295295759868,734,317,True,699,282,72,71
4645,0.9933440089225769,"[1237.5, 151.875]",69,6.0755,41.47239073187557,125.84085719540921,1.0876436063209138,1209,176,True,1172,139,76,74
4568,0.9933111667633057,"[787.5, 320.625]",70,6.0755,41.47239079073951,123.75479777580824,1.1059773567649032,802,355,True,763,318,77,73
5670,0.993182361125946,"[652.5, 421.875]",71,6.0755,46.2408151541038,153.60982998879877,1.10769983323482,619,406,True,578,364,82,86
6210,0.9931171536445618,"[562.5, 961.875]",72,6.0755,48.063063089783405,168.2393376067796,1.0926610865870148,530,968,True,487,924,86,89
5200,0.9930216670036316,"[1237.5, 624.375]",73,6.0755,44.16925145239411,140.87674002500063,1.102023666206484,1277,631,True,1240,589,78,84
5233,0.9929640889167786,"[652.5, 961.875]",74,6.0755,44.12931362284269,141.7707654905439,1.093094720711856,618,973,True,580,933,79,82
5622,0.9929327368736267,"[1237.5, 590.625]",75,6.0755,46.32069022456723,152.30942931164492,1.1210200738787035,1225,557,True,1184,516,85,85
3953,0.9929267764091492,"[1282.5, 84.375]",76,6.0755,38.68596450398169,107.09341409977452,1.1120753900553404,1300,54,True,1264,19,71,72
5658,0.9928180575370789,"[787.5, 894.375]",78,6.0755,46.207729675830436,153.2847298195103,1.1084612231484872,775,858,True,731,819,88,84
4875,0.9926781058311462,"[472.5, 84.375]",79,6.0755,42.756069364807516,132.07194377343808,1.1014761864598184,443,70,True,405,31,78,80
6043,0.9924983978271484,"[562.5, 320.625]",80,6.0755,47.54103651636177,163.71502691751516,1.0985982037221713,562,307,True,519,264,87,87
5372,0.9924605488777161,"[112.5, 860.625]",81,6.0755,45.100343952394006,145.53650911813526,1.1121871944100115,70,846,True,29,805,83,83
4609,0.9924141764640808,"[652.5, 185.625]",82,6.0755,41.342887532298,124.86555668754383,1.0893039795890889,684,168,True,647,129,75,79
5691,0.9924010634422302,"[382.5, 826.875]",83,6.0755,46.400565530486425,154.17875528505357,1.111250957836356,358,793,True,315,751,87,85
4923,0.992365300655365,"[1057.5, 388.125]",84,6.0755,42.85248722346091,133.37234445059195,1.0956615438744228,1081,363,True,1041,325,80,78
5513,0.9922890067100525,"[1372.5, 793.125]",85,6.0755,45.60582811043063,149.3564361072747,1.1081712684127485,1329,790,True,1287,748,84,85
5150,0.9922471046447754,"[607.5, 118.125]",86,6.0755,43.992958366306766,139.52215598629869,1.1038582115823152,603,147,True,563,109,81,79
4776,0.9922155737876892,"[1192.5, 118.125]",87,6.0755,42.33046063041797,129.38986737680827,1.1020361910330274,1195,93,True,1156,54,78,79
4561,0.9921823740005493,"[1372.5, 556.875]",88,6.0755,41.575660667108636,123.56515601038997,1.1131980387987146,1342,576,True,1304,538,78,77
4614,0.9921737313270569,"[1012.5, 455.625]",89,6.0755,41.55226590044557,125.00101509141402,1.099172916910349,1025,422,True,988,384,76,76
5426,0.9921455979347229,"[562.5, 793.125]",90,6.0755,45.19676179142609,146.99945987993334,1.105831704405694,535,817,True,495,776,82,84
4852,0.9920697808265686,"[1282.5, 961.875]",91,6.0755,42.69958921797765,131.4488351156352,1.103775597103289,1298,924,True,1257,885,81,78
5763,0.9920370578765869,"[427.5, 489.375]",92,6.0755,46.40056531465198,156.12935630078434,1.0973675415951285,391,489,True,347,447,87,85
4712,0.9920298457145691,"[652.5, 1029.375]",93,6.0755,41.92139446838394,127.6559998072698,1.0955200886723977,685,1020,True,647,981,74,80
4886,0.9919784665107727,"[517.5, 624.375]",94,6.0755,42.94890500362906,132.3699522619525,1.1089319986869874,513,588,True,474,548,77,81
4907,0.9919517040252686,"[877.5, 624.375]",96,6.0755,42.908967488018654,132.9388775582073,1.1021336364372223,913,632,True,875,593,79,78
4464,0.9918748736381531,"[652.5, 354.375]",97,6.0755,41.08671943461117,120.93726297530823,1.11079248612869,653,327,True,616,290,74,76
4287,0.9918719530105591,"[877.5, 185.625]",98,6.0755,39.76995544113374,116.1420354783034,1.08370458712633,860,219,True,824,184,73,73
4669,0.991856575012207,"[967.5, 421.875]",99,6.0755,42.00126946036212,126.49105753398614,1.1098266422116472,947,399,True,908,360,77,79
4889,0.9917797446250916,"[832.5, 489.375]",100,6.0755,42.65965166312463,132.45122730427462,1.0933740417712143,812,511,True,774,472,77,81
5954,0.9917390942573547,"[787.5, 928.125]",101,6.0755,46.9956149212,161.30386732862573,1.0895822738687313,827,934,True,787,889,81,89
4421,0.9917228817939758,"[967.5, 523.125]",102,6.0755,40.70104825507465,119.77232070202457,1.1006389067145723,960,486,True,922,449,75,75
5048,0.9915474653244019,"[472.5, 624.375]",103,6.0755,43.51086919076766,136.75880454734676,1.1016163123775002,461,658,True,422,618,78,82
5136,0.9914714694023132,"[832.5, 658.125]",104,6.0755,44.209188752170064,139.14287245546217,1.1177746666205661,830,616,True,790,575,80,83
4676,0.9913983345031738,"[517.5, 185.625]",105,6.0755,42.09768741712208,126.68069929940441,1.1132588647247394,541,215,True,502,176,76,80
5148,0.9913106560707092,"[112.5, 16.875]",106,6.0755,44.209188791412686,139.46797262475062,1.1151691332469151,112,57,True,72,17,81,82
4484,0.9912810921669006,"[922.5, 759.375]",107,6.0755,40.837403570474514,121.479096590789,1.092458193923245,939,795,True,900,759,77,74
5079,0.9912744164466858,"[1372.5, 995.625]",108,6.0755,43.374513894989114,137.59864665134197,1.0880408844063187,1388,957,True,1348,917,81,78
4783,0.9912734627723694,"[787.5, 725.625]",109,6.0755,42.42687854793531,129.57950914222653,1.1054420153744435,797,695,True,758,656,79,78
5626,0.991249144077301,"[697.5, 759.375]",110,6.0755,46.08791705051397,152.41779603474106,1.108992527127916,663,738,True,623,696,83,86
4911,0.9912093281745911,"[157.5, 928.125]",111,6.0755,42.812549805957076,133.04724428130348,1.0962924934089253,149,890,True,109,853,83,74
4650,0.9912065267562866,"[1237.5, 489.375]",112,6.0755,41.60874608651805,125.9763155992794,1.0936301881753898,1211,472,True,1174,435,76,75
4006,0.9911535382270813,"[1282.5, 151.875]",114,6.0755,38.7259021765626,108.52927318079855,1.0996293666445027,1269,124,True,1234,88,69,75
4279,0.9910769462585449,"[517.5, 354.375]",115,6.0755,40.04266630738922,115.92530203211109,1.100671891724532,481,341,True,444,304,75,73
5215,0.9910575151443481,"[607.5, 860.625]",116,6.0755,43.896540546896,141.2831152366112,1.085326641996934,588,887,True,548,848,79,81
4636,0.9910208582878113,"[697.5, 860.625]",117,6.0755,41.5123282867286,125.59703206844287,1.09185494019126,672,889,True,637,851,74,77
4288,0.9909834265708923,"[742.5, 253.125]",118,6.0755,40.195564332493795,116.16912715907743,1.1067656467685028,710,246,True,675,209,73,74
4595,0.9908437132835388,"[1147.5, 151.875]",119,6.0755,41.64868389644816,124.48627315670728,1.1088460022918898,1121,129,True,1084,90,75,77
5785,0.9907642006874084,"[1192.5, 1029.375]",120,6.0755,46.78623676888688,156.7253732778132,1.111442633394948,1153,1009,True,1110,967,87,85
5276,0.9906696081161499,"[67.5, 286.875]",121,6.0755,44.63479768277274,142.93570776382757,1.109165980250608,49,312,True,8,272,84,80
4145,0.9906623959541321,"[517.5, 421.875]",122,6.0755,39.63360004724863,112.29501680838992,1.1131577043323926,539,391,True,504,355,70,75
4215,0.9906590580940247,"[202.5, 50.625]",123,6.0755,39.63360006686994,114.19143446257263,1.0946711005993568,191,77,True,156,40,70,75
5030,0.9905319213867188,"[157.5, 354.375]",124,6.0755,43.10180300911232,136.27115429341407,1.0848684435487486,147,327,True,108,288,79,78
4559,0.9904553890228271,"[472.5, 286.875]",125,6.0755,41.26301242259194,123.5109726488419,1.0969995652227196,474,259,True,436,221,76,76
4839,0.9904410243034363,"[427.5, 320.625]",126,6.0755,42.908967488018654,131.0966432655727,1.1176213585446269,406,308,True,366,269,80,77
5379,0.9902401566505432,"[1192.5, 658.125]",128,6.0755,44.900656178128855,145.72615088355354,1.100925719640281,1190,635,True,1151,595,80,81
4550,0.9901975989341736,"[1327.5, 286.875]",129,6.0755,41.439305410572715,123.26714752187554,1.1085817490256047,1297,264,True,1258,227,78,76
4062,0.9900922775268555,"[247.5, 50.625]",131,6.0755,38.83886276454202,110.04640730414472,1.0908053946844773,270,77,True,234,41,70,72
5037,0.9900230169296265,"[202.5, 354.375]",132,6.0755,43.6637673139788,136.46079605883233,1.1117948127519521,228,388,True,190,349,79,80
4464,0.9899752140045166,"[967.5, 118.125]",133,6.0755,40.893883893896195,120.93726297530823,1.1003902144888082,981,90,True,945,52,72,78
5385,0.9899513125419617,"[247.5, 860.625]",134,6.0755,44.61825518890248,145.88870096819775,1.0859095308044957,222,838,True,182,796,82,84
4714,0.989930272102356,"[1057.5, 84.375]",135,6.0755,42.01781234665865,127.71018316881788,1.1000982720104662,1062,70,True,1025,31,75,79
5059,0.9898832440376282,"[967.5, 725.625]",136,6.0755,43.70370498655971,137.05681303586118,1.1089858855377783,936,710,True,895,673,82,78
4781,0.9898627996444702,"[1102.5, 691.875]",137,6.0755,42.347003222394804,129.52532578067846,1.101744285524257,1110,659,True,1073,620,75,80
4768,0.989787220954895,"[607.5, 84.375]",138,6.0755,42.403483663544364,129.17313393061596,1.1076970900266792,591,67,True,552,29,78,76
5520,0.9896207451820374,"[292.5, 691.875]",140,6.0755,45.75872595894338,149.54607787269296,1.114199493755923,250,698,True,210,656,82,86
4829,0.9895734190940857,"[337.5, 354.375]",141,6.0755,42.443420943699,130.8257264578323,1.0957658027452541,304,347,True,265,309,79,76
4429,0.9895537495613098,"[1417.5, 759.375]",142,6.0755,40.484817771104794,119.98905414821688,1.0870083586984516,1392,731,True,1355,695,73,74
5546,0.9895157217979431,"[382.5, 928.125]",143,6.0755,45.48601544587154,150.25046157281798,1.0957970076137966,342,943,True,300,902,84,82
4633,0.9894846081733704,"[337.5, 185.625]",144,6.0755,41.72855896691159,125.51575702612075,1.103973530699157,333,172,True,295,134,76,78
4580,0.9894407391548157,"[697.5, 556.875]",145,6.0755,41.568808570907656,124.0798979450967,1.1082145876978258,673,580,True,636,543,73,77
4471,0.9893984198570251,"[742.5, 523.125]",147,6.0755,40.85394637828579,121.1269047407265,1.0965224950038404,731,493,True,697,454,71,78
4524,0.9893718957901001,"[1237.5, 860.625]",148,6.0755,41.382825165636284,122.56276382175055,1.1119157003290125,1267,848,True,1229,809,77,78
4806,0.9892770648002625,"[607.5, 590.625]",151,6.0755,42.53983888083766,130.20261780002943,1.1060177613393047,591,568,True,555,528,74,81
4558,0.9891152381896973,"[1237.5, 793.125]",152,6.0755,41.246469732508544,123.48388096806785,1.0963606314649095,1252,755,True,1214,716,75,79
8071,0.9891020655632019,"[922.5, 185.625]",153,6.0755,61.68655936742121,218.65695552726538,1.3848665786505379,931,166,False,880,107,102,119
4543,0.9891001582145691,"[1012.5, 253.125]",154,6.0755,41.12665716605602,123.07750575645728,1.093599420158585,992,236,True,955,198,75,76
4579,0.989060640335083,"[1372.5, 455.625]",155,6.0755,41.27955515191797,124.05280626432267,1.0930840564901736,1366,435,True,1330,397,73,77
4609,0.9889046549797058,"[1057.5, 658.125]",156,6.0755,41.47239073187557,124.86555668754383,1.0961389783815674,1026,663,True,988,626,77,73
4197,0.9888904690742493,"[427.5, 118.125]",157,6.0755,39.61020531982819,113.70378420863993,1.0980684269161338,411,148,True,375,112,70,72
4540,0.988887369632721,"[877.5, 354.375]",158,6.0755,41.183137234400625,122.99623071413517,1.0973298359992065,881,337,True,846,299,73,77
5394,0.9888574481010437,"[472.5, 826.875]",159,6.0755,45.14028142876178,146.1325260951641,1.1096135948332067,446,812,True,405,770,82,85
4353,0.9884790182113647,"[787.5, 455.625]",161,6.0755,40.42833744768311,117.93008640938994,1.102902911657177,789,433,True,751,398,75,73
4603,0.988440215587616,"[1057.5, 1029.375]",162,6.0755,41.648683641371086,124.70300660289959,1.1069188177538223,1065,992,True,1029,953,75,77
4914,0.9883348345756531,"[337.5, 658.125]",163,6.0755,42.8125496882292,133.1285193236256,1.0956232001468238,377,648,True,337,610,79,78
5218,0.9883337616920471,"[697.5, 928.125]",164,6.0755,44.554922474960115,141.3643902789333,1.1174844698946946,737,941,True,696,901,82,80
4893,0.9883312582969666,"[247.5, 320.625]",165,6.0755,42.67619433358671,132.5595940273708,1.0933276685464142,231,302,True,193,264,79,77
4675,0.9882733225822449,"[157.5, 658.125]",166,6.0755,41.864914105719635,126.65360761863037,1.101217185097831,185,642,True,146,605,81,74
5284,0.9882643818855286,"[877.5, 894.375]",167,6.0755,44.6747352768684,143.15244121001987,1.109469462235359,877,854,True,836,814,83,82
4673,0.9882194399833679,"[472.5, 1063.125]",169,6.0755,42.041207270292226,126.59942425708229,1.1109864525050825,464,1027,True,426,987,78,79
4796,0.9881673455238342,"[1237.5, 894.375]",170,6.0755,42.347003300880054,129.93170099228905,1.098298467184455,1202,900,True,1164,863,79,76
6038,0.9881138205528259,"[112.5, 725.625]",171,6.0755,48.04652041932132,163.57956851364497,1.123013455492663,80,701,True,34,660,91,86
4968,0.9876543879508972,"[247.5, 1029.375]",172,6.0755,43.41445137135689,134.59147008542368,1.1144003341436595,254,1005,True,214,966,81,79
4556,0.9876419305801392,"[382.5, 556.875]",173,6.0755,41.302949997066285,123.42969760651978,1.0998478598700405,354,569,True,315,531,76,77
5134,0.987537145614624,"[472.5, 961.875]",174,6.0755,43.879997660599464,139.08868909391407,1.1016192430129736,430,951,True,391,910,81,81
4582,0.9874307513237,"[292.5, 286.875]",175,6.0755,41.67207856500466,124.13408130664479,1.1132416028430954,332,271,True,293,232,78,77
4224,0.9873954653739929,"[562.5, 691.875]",176,6.0755,39.82643566644885,114.43525958953897,1.1029940186165248,540,667,True,505,630,69,76
4384,0.9873254299163818,"[1282.5, 1029.375]",177,6.0755,40.701048215832024,118.76992851338514,1.1099280559311113,1306,1006,True,1269,970,75,75
4957,0.9873011708259583,"[292.5, 556.875]",178,6.0755,43.02877985825804,134.29346159690925,1.0971179734824505,293,519,True,253,482,81,79
5069,0.987167477607727,"[202.5, 455.625]",179,6.0755,43.5108692496316,137.32772984360156,1.0970525073837,211,498,True,172,459,78,82
5152,0.9871578812599182,"[517.5, 759.375]",180,6.0755,44.265669016727806,139.57633934784678,1.1171523329817488,493,739,True,452,700,81,81
4331,0.9871298670768738,"[427.5, 759.375]",181,6.0755,40.31537691856763,117.3340694323611,1.1023194022213927,410,725,True,373,688,75,75
5781,0.9870942234992981,"[112.5, 1063.125]",182,6.0755,46.43365079292534,156.61700655471705,1.0955113435191413,89,1037,True,46,995,86,82
4213,0.9865831732749939,"[787.5, 759.375]",185,6.0755,39.6501426980894,114.13725110102455,1.0961051961619934,774,773,True,738,738,72,71
4613,0.9865767955780029,"[607.5, 759.375]",186,6.0755,41.55226592006688,124.97392341063998,1.099411195190556,578,740,True,541,702,73,78
5471,0.9864747524261475,"[1102.5, 793.125]",187,6.0755,45.582433206418365,148.2185855147651,1.1155331486927826,1104,767,True,1064,724,82,83
4956,0.9864504337310791,"[1417.5, 658.125]",188,6.0755,43.00538536629337,134.2663699161352,1.0961464357600532,1379,648,True,1338,610,80,77
4309,0.9864335656166077,"[1327.5, 860.625]",189,6.0755,40.17902148543989,116.73805245533225,1.100465429210956,1358,872,True,1321,835,74,75
4362,0.9863177537918091,"[427.5, 556.875]",190,6.0755,40.468275139885336,118.1739115363563,1.1028029349678161,431,580,True,395,543,73,76
4598,0.9859640002250671,"[472.5, 489.375]",191,6.0755,41.455848139898734,124.5675481990294,1.0978849429332926,476,513,True,438,476,77,75
4508,0.9859524369239807,"[67.5, 995.625]",192,6.0755,41.3594302223814,122.12929692936592,1.114600858857759,66,953,True,28,916,75,77
4663,0.9857941269874573,"[157.5, 489.375]",194,6.0755,41.801581764582224,126.32850744934191,1.1007132701782238,128,491,True,89,456,78,73
4511,0.9857705235481262,"[1237.5, 995.625]",195,6.0755,41.26301232448537,122.21057197168804,1.108672355147121,1233,976,True,1195,938,75,77
4416,0.9857324361801147,"[292.5, 725.625]",196,6.0755,40.701048078482835,119.63686229815438,1.101885091567262,330,714,True,294,677,74,76
4227,0.9856706857681274,"[1057.5, 556.875]",197,6.0755,39.90631083501886,114.51653463186109,1.1066367807586575,1062,592,True,1026,556,73,74
4122,0.9855576753616333,"[922.5, 286.875]",198,6.0755,39.28786644218645,111.67190815058703,1.0999250387203725,921,269,True,885,232,72,74
4431,0.9852434992790222,"[1282.5, 691.875]",200,6.0755,40.87734122343411,120.04323750976495,1.107688678757748,1314,704,True,1276,666,76,76
4293,0.9851434230804443,"[472.5, 860.625]",202,6.0755,39.946248409493194,116.30458556294764,1.091805542521421,482,888,True,444,852,75,73
4496,0.9851049780845642,"[202.5, 590.625]",203,6.0755,41.133509262257,121.80419676007746,1.1053998689458233,237,580,True,199,543,79,77
4159,0.9850547909736633,"[1012.5, 860.625]",204,6.0755,39.6501426980894,112.67430033922646,1.110336905850079,1029,833,True,992,800,73,70
