area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
4556,0.9844239950180054,"[562.5, 725.625]",6.0755,75,206.54966519745497,191.74616858500804,174.4100728681824,41.27955519116059,123.42969760651978,1.0986022616736182,578,740,True,541,702,72,78
5482,0.9847440719604492,"[562.5, 793.125]",6.0755,76,59.827470166367675,151.2074455663921,142.1533057015301,45.333117597358786,148.5165940032795,1.10114960910055,536,818,True,496,775,81,86
4859,0.9812114834785461,"[607.5, 118.125]",6.0755,77,253.72708031450594,50.31424015469626,19.558016613984513,42.73267455890183,131.63847688105346,1.1038941657254089,603,147,True,565,110,78,77
5604,0.9854879379272461,"[607.5, 388.125]",6.0755,78,139.8296730613774,102.56510046887584,136.71262572215454,46.200877560008145,151.8217790577122,1.1188104377663421,620,406,True,578,364,82,85
4626,0.9829617142677307,"[607.5, 590.625]",6.0755,79,144.1409792026576,229.05230000672657,91.56465203454795,41.89799952512905,125.32611526070248,1.114641305985594,590,568,True,555,529,72,79
6147,0.9851592779159546,"[607.5, 624.375]",6.0755,80,204.31675863419872,25.641250893368014,245.3396408031864,48.142938199489464,166.53256171801516,1.1075316792155157,622,654,True,580,609,85,92
3857,0.9766582250595093,"[607.5, 793.125]",6.0755,81,252.7295865704138,245.3922527022879,176.04381905042095,38.276898459675536,104.49261274546681,1.1157786000334706,620,811,True,585,776,70,70
5172,0.9835139513015747,"[607.5, 860.625]",6.0755,82,4.980073102937626,180.16451964208946,0.5062573988220376,44.08937622496017,140.11817296332754,1.1039860334097091,588,888,True,547,848,79,81
5205,0.9780731797218323,"[607.5, 995.625]",6.0755,83,149.7482306035527,216.4689957841984,184.18830079152733,44.11277114859374,141.01219842887082,1.0981511842509726,617,974,True,578,933,81,82
4721,0.9853423237800598,"[652.5, 84.375]",6.0755,84,245.3618166003064,95.04195971008191,153.4492879724638,41.97787477218431,127.89982493423615,1.0963799409472836,675,57,True,640,17,72,81
4398,0.982536792755127,"[652.5, 185.625]",6.0755,85,56.07199134112259,213.56333263513562,118.32370054758584,40.87734116457017,119.14921204422168,1.1160001185629649,684,169,True,647,129,74,78
5944,0.9862971901893616,"[652.5, 253.125]",6.0755,86,67.46282525921298,214.37716477045905,231.74158401325602,47.1154277427296,161.03295052088532,1.0969874577401952,625,237,True,583,192,83,90
4322,0.980160653591156,"[652.5, 354.375]",6.0755,87,133.59580197795188,207.02463234737507,7.05107932563367,40.44488015738782,117.09024430539475,1.1117228436341076,653,327,True,617,291,72,74
6263,0.9887341260910034,"[652.5, 455.625]",6.0755,88,205.33274717250114,231.9088492732195,9.644810340933784,48.58508987903948,169.67519668780363,1.1070769169867614,646,495,True,601,452,87,89
5709,0.9848408699035645,"[652.5, 725.625]",6.0755,89,197.9994730713069,15.083088799493813,0.7683249923942265,46.59340097309483,154.66640553898625,1.1169737506760749,662,738,True,620,695,85,87
